annee_numero_de_tirage;date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;rapport_du_rang1_Euro_Millions;rapport_du_rang2_Euro_Millions;rapport_du_rang3_Euro_Millions;rapport_du_rang4_Euro_Millions;rapport_du_rang5_Euro_Millions;rapport_du_rang6_Euro_Millions;rapport_du_rang7_Euro_Millions;rapport_du_rang8_Euro_Millions;rapport_du_rang9_Euro_Millions;rapport_du_rang10_Euro_Millions;rapport_du_rang11_Euro_Millions;rapport_du_rang12_Euro_Millions;rapport_du_rang13_Euro_Millions
2017010;03/02/2017;3;4;50;46;15;9;5;17000000;369790.5;51677;4212.8;192.5;99.4;77.9;15.1;15.6;14.6;7.6;7.6;4.7
2017011;07/02/2017;44;38;4;31;10;10;8;17000000;325154.4;319734.2;3693;157.8;104.2;63.6;21;13.7;12.2;12;8.3;4.4
2017012;10/02/2017;43;26;7;35;21;9;2;17000000;280518.3;43557.2;2061.7;137.7;86.4;52.2;16.2;12.4;11.4;8.7;7.4;4.4
2017013;14/02/2017;44;40;24;2;10;3;10;23570709;855914.6;33225.3;3611.4;177.7;107.3;62.2;20.2;15.1;12.3;11;8.1;4.3
2017014;17/02/2017;25;19;33;36;48;2;9;17000000;347002.9;30307.8;3593.8;177.9;111;66.6;18;15.6;13.9;9;8.3;4.8
2017015;21/02/2017;19;41;49;13;45;4;3;17000000;364667.6;56623.5;6924;188.9;130.7;75.6;22.5;15.2;13.8;11.2;7.8;4.7
2017016;24/02/2017;13;2;43;22;4;8;9;17000000;154279.6;25153.4;3844.7;126.4;115.3;47.1;20.4;11.6;10.7;11.2;6.9;4.1
2017017;28/02/2017;35;31;10;42;20;2;12;17000000;193982.05;240661.4;5232.4;231.4;174.2;60.2;30.3;17.9;12.6;16.1;9.5;4.3
2017018;03/03/2017;47;2;11;29;30;12;1;17000000;233684.5;45356.4;5787.4;212.8;154.8;51.1;28.1;18;11.1;14.8;10;4
2017019;07/03/2017;6;37;50;41;48;5;4;17000000;756469.05;275024.5;4419.6;240.9;146.7;85.8;23.8;18;15.8;11.1;9.1;5.3
2017020;10/03/2017;38;49;31;47;36;8;11;17000000;1279253.6;74488.1;4701.2;231.6;145.3;76.1;25;18.9;16;12.9;9.8;5.3
2017021;14/03/2017;21;5;44;36;3;3;6;80571199;244777;32577.9;3598.1;171.6;85.2;65.2;14.8;13.4;12.9;8.1;7.2;4.5
2017022;17/03/2017;19;29;36;6;10;9;3;65571199;518886.3;21973.5;1407.4;123.7;63.5;52.3;12.6;11.6;11.3;7.2;6.9;4.3
2017023;21/03/2017;47;23;20;44;1;11;4;50571199;373296.5;34778;4050.2;220.7;131.2;73.8;22.9;17.5;13.6;12.3;9;4.4
2017024;24/03/2017;2;21;17;27;34;5;9;35571199;152897.1;49856;1486.9;111.3;62.7;50.9;12.4;11.3;11;7.2;6.7;4.2
2017025;28/03/2017;33;13;46;9;31;6;10;20571199;266676.3;14333.5;2940;163.6;116.9;55.8;21.4;14.8;11.5;11.6;8.3;4.1
2017026;31/03/2017;24;26;45;17;28;4;12;5571199;585756.2;19489.8;5802.7;197.4;166.2;53.7;28.9;16.3;10.8;15.4;9.1;3.9
2017027;04/04/2017;24;33;9;1;34;2;6;17000000;297859.9;52031.2;3181.2;188.8;92.4;73.1;15.9;14.9;13.1;8.4;7.8;4.5
2017028;07/04/2017;35;10;2;50;19;7;6;17000000;617869.9;26165.2;2995.3;167;106.1;59;18.8;13.2;12.3;9.9;7.2;4.4
2017029;11/04/2017;22;5;31;49;21;8;2;83397527;986781.3;45966.5;3306.4;176.6;84.4;71.3;14.4;14.5;12.6;7.5;7.7;4.4
2017030;14/04/2017;33;20;4;14;23;6;10;68397527;325832.5;45534;2420.8;139.4;112.4;43.7;20.8;13.4;9.8;11.8;7.9;3.8
2017031;18/04/2017;22;17;45;38;31;12;5;53397527;699968.4;54343.5;5695.9;199.6;170.8;60.6;30.1;16.4;12.6;15.8;9;4.4
2017032;21/04/2017;2;13;22;49;16;4;5;38397527;347215.1;40435.1;3042.7;142.5;99;53.8;18.5;12;11.4;10.1;6.8;4.3
2017033;25/04/2017;11;9;32;19;43;3;9;23397527;87179.1;26106.4;1787.7;125.7;61;53.8;11.7;11.6;11.8;6.9;6.8;4.4
2017034;28/04/2017;20;25;30;39;14;8;2;17000000;582414.6;67825.5;2106.3;162.3;75.4;62.4;13.9;14;12.6;7.4;7.8;4.5
2017035;02/05/2017;27;25;19;6;23;12;11;17000000;395316.8;14165.1;4503.6;167.6;165.9;32.5;30.1;16.5;7.9;16.3;9.9;3.3
2017036;05/05/2017;7;43;30;3;35;1;3;17000000;309747.4;144287.3;3442.7;163.1;111.3;70.1;17.5;13.3;12.9;9.8;7.3;4.4
2017037;09/05/2017;26;22;16;12;8;7;6;17000000;96432.9;17277.1;2112.6;92.7;78.3;41.5;14.8;9.8;10.2;9.4;6.2;4.1
